"X201728"	"XNextWeek1"	"XNextWeek2"	"XNextWeek3"
"11301"	77300,4723031694	91611,3036667895	69633,661055407	91801,0430913489
"11303"	11990,8809903005	8298,86044584654	16107,0159665742	19591,458346194
"11312"	30589,0704820985	19496,1621354013	41301,5211654887	50886,0859402709
"11315"	114441,604630895	122940,716269174	194097,577226977	90599,129788073
"11318"	1004355,16525248	247938,128130926	919297,199450071	1291563,86896209
"11320"	72814,5734183387	41223,9421541783	99829,0513511499	128221,539734986
"11326"	36544,1040909399	50527,369620733	98800,5859973495	108986,453238229
"11327"	107316,140936611	143182,15026797	158149,672247512	227115,170650208
"11329"	134321,672890411	178053,321496794	191660,297610974	279706,36016502
"11330"	139175,542664765	183650,149866981	195569,339332241	287258,325417456
"11332"	152169,604838457	209888,230047408	255045,8623626	358352,663766779
"11334"	246570,487340304	333960,270942818	321741,721392922	506389,264693357
"11338"	625250,625556318	915241,856870971	693822,973908961	1371270,51834084
"11339"	104127,18397201	141663,171579583	296719,687879933	348336,868671534
"11340"	128961,237824508	180379,427316419	385771,005873274	472192,65991007
"11341"	479956,73271658	589610,964628254	553239,313920235	818896,528169152
"11345"	66575,6655611753	87128,9896932717	164509,905881985	154933,970307351
"11349"	435602,617883587	1127435,8239306	1621796,6172015	351073,541689676
"11350"	897762,30731272	2578398,04403702	3711834,45171924	610210,310204937
"11351"	920853,170077177	962169,242740856	965051,209265373	1163235,16198282
"11353"	108519,029585631	205216,153129591	309158,534473496	124211,427898659
"11355"	569548,632372936	1302403,2069043	1755645,88597345	555992,347447952
"11356"	121257,26549204	229945,06630275	345922,13823297	137895,662524923
"11357"	329456,813295879	530419,412341685	782842,345576193	427490,083085451
"11362"	115976,140698446	219721,188106829	331874,130358391	133570,558791361
"11363"	314079,928079947	791672,339796751	765453,374873107	772230,193941678
"11364"	1705758,46169123	1863847,92150123	3067171,98850956	2022022,6307114
"11365"	135608,508120884	172524,980442342	322677,274189258	288976,242943298
"11378"	173954,380141349	220839,916764586	470815,039441553	479366,764050946
"11381"	176195,413567078	221154,528326483	472373,083368978	486055,881635249
"11385"	151140,876974862	198734,027036879	436375,684160131	443869,624264509
"11399"	245727,925020488	380039,501315056	422472,265415297	57676,5222928961
"11402"	57181,7012905168	79694,269516478	119058,956165849	207926,062509306
"11405"	92940,9908575867	110818,516484432	129742,191656252	227073,461844016
"11410"	42072,6896204074	101837,139739798	254061,127844224	455472,477111706
"11413"	33940,4694847018	67224,5549170314	148153,542149771	212486,599544909
"11414"	46849,7433079608	86989,5039310732	204172,290430124	240126,046156983
"11415"	39686,3028625232	76414,2049608161	177951,805337199	229434,929406197
"11427"	76733,1765106748	145652,027753813	226218,40751345	98575,9693700694
"11428"	46660,5687960521	64149,1419931206	127237,063483049	141111,487869538
"11431"	14585,8847243901	20023,2847967825	39495,2020781515	37955,1552696874
"11432"	191625,933196295	233137,350853086	557426,388493533	484660,291746756
"11433"	185544,303701006	224404,501481273	511910,478780878	440812,243077518
"11434"	135165,752096971	184593,419086946	414962,753114511	320520,50843519
"11435"	2091904,93408551	2140337,73863781	2309438,73062706	1190005,461155
"11438"	2258069,54079634	1826936,52273272	1098920,96708536	630147,050775404
"11444"	1149243,87532083	922826,804622866	1202630,37419207	868042,325747621
"11448"	1433553,73705056	1128639,36335824	1015177,04811388	675605,165989328
"11461"	1870907,91017088	1647883,76332925	1885640,48665613	870493,536857233
"11467"	1301401,43539903	1126888,02776155	1315515,11319611	629749,689438538
"11472"	1897530,51973969	1608824,78229287	1950942,8037757	875584,472486238
"11475"	2450459,58683756	2037110,31836117	2541260,49111967	1100232,17403972
"11486"	2919750,87831964	2733816,6929481	2411818,37214238	1212743,82678146
"11488"	7322729,56242299	7055876,14541823	5659673,22161336	2049574,20337784
"11489"	2408405,19710371	2327669,64701404	2014258,18403096	955196,549604704
"11492"	2398327,48794161	2366856,52815778	2023629,73095865	925088,710304223
